departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-16 02:00, 2025-06-16 02:49, 1, walk, 01, walk, 12
2025-06-16 02:55, 2025-06-16 03:36, 0, walk, 01, taxi, 05
2025-06-16 02:55, 2025-06-16 04:35, 1, walk, 01, walk, 13
2025-06-16 04:00, 2025-06-16 04:49, 1, walk, 01, walk, 12
2025-06-16 05:00, 2025-06-16 05:36, 0, walk, 01, taxi, 05
2025-06-16 05:00, 2025-06-16 06:35, 1, walk, 01, walk, 13
2025-06-16 06:00, 2025-06-16 06:49, 1, walk, 01, walk, 12
2025-06-16 07:00, 2025-06-16 07:36, 0, walk, 01, taxi, 05
2025-06-16 07:00, 2025-06-16 08:35, 1, walk, 01, walk, 13
2025-06-16 08:00, 2025-06-16 08:49, 1, walk, 01, walk, 12
2025-06-16 09:00, 2025-06-16 09:40, 1, walk, 01, walk, 01
2025-06-16 10:00, 2025-06-16 10:36, 0, walk, 01, taxi, 05
2025-06-16 10:00, 2025-06-16 11:28, 1, walk, 01, walk, 01
2025-06-16 11:00, 2025-06-16 11:36, 0, walk, 01, taxi, 05
2025-06-16 11:00, 2025-06-16 12:28, 1, walk, 01, walk, 01
2025-06-16 12:00, 2025-06-16 12:44, 1, walk, 01, walk, 01
2025-06-16 13:00, 2025-06-16 13:36, 0, walk, 01, taxi, 05
2025-06-16 13:00, 2025-06-16 14:35, 1, walk, 01, walk, 13
2025-06-16 14:00, 2025-06-16 14:49, 1, walk, 01, walk, 12
2025-06-16 15:00, 2025-06-16 15:49, 1, walk, 01, walk, 12
2025-06-16 16:00, 2025-06-16 16:41, 1, walk, 01, walk, 01
2025-06-16 17:00, 2025-06-16 17:36, 0, walk, 01, taxi, 05
2025-06-16 18:00, 2025-06-16 18:36, 0, walk, 01, taxi, 05
2025-06-16 19:00, 2025-06-16 19:36, 0, walk, 01, taxi, 05
2025-06-16 20:00, 2025-06-16 20:36, 0, walk, 01, taxi, 05
